name,url,description,stars
SeregaSPb/Windows-10-batch-optimizer,https://github.com/SeregaSPb/Windows-10-batch-optimizer,"Autotuner Windows 10 for awesome perfomance setting, privacy and security.",82
buxh/ZER0-Batch-Optimizer,https://github.com/buxh/ZER0-Batch-Optimizer,"Easy to use, user friendly, simple batch optimizer made for windows 10 version 1909",16
NARCOTIC/Windows-Optimizer,https://github.com/NARCOTIC/Windows-Optimizer,Windows-Optimizer is a batch program. This program is Optimizing and Defragmenting All Connected Storage Drives & Fixing File System Errors.,24
tcja/Windows-10-tweaks,https://github.com/tcja/Windows-10-tweaks,This repo contains multiple scripts to optimize windows 10,50
TheCraZyDuDee/Windows-Gaming-Optimization-Script,https://github.com/TheCraZyDuDee/Windows-Gaming-Optimization-Script,Batch Script that optimizes Windows temporary for Gaming,25
Batlez/Batlez-Tweaks,https://github.com/Batlez/Batlez-Tweaks,"Batlez Tweaks is a batch tweaking script that optimizes your system to provide the best gaming experience possible. It is free and open-source, and works on Windows 10 & 11!",129
Ec-25/FixIt,https://github.com/Ec-25/FixIt,A simple Script capable of optimizing and repairing almost any error that may occur on your Windows computer,84
UnLovedCookie/CoutX,https://github.com/UnLovedCookie/CoutX,Free PC optimizer written in C++ and batch to give your computer a performance boost. Includes a intuitive GUI and simple settings.,49
ai-joe-git/ComfyUI-Intel-Arc-Clean-Install-Windows-venv-XPU-,https://github.com/ai-joe-git/ComfyUI-Intel-Arc-Clean-Install-Windows-venv-XPU-,"This repository provides **fully automated batch scripts** to install and launch ComfyUI on Windows, optimized for both Intel Arc GPUs **and** Intel Ultra Core iGPUs (Meteor Lake/Core Ultra series) using the XPU backend.",45
Chainski/WindowsCleanerUtility,https://github.com/Chainski/WindowsCleanerUtility,A minimal windows batch script that cleans your PC from temporary files.,44
scottgriv/batch-useful_bat_files,https://github.com/scottgriv/batch-useful_bat_files,"⚙️ 🛠️ A collection of useful Windows Batch files. Tools include: folder backups, event logging, scheduled task management, FTP transfer, file movement, network status, search and replace text, emailing, etc.",21
bongochong/CWP-Utilities,https://github.com/bongochong/CWP-Utilities,"Combined Windows Privacy Utilities | Hosts file updater, block list manager, and more. Open source tools for Windows users, to help ensure privacy & security. Block ads, spyware domains, and other malicious activity/traffic, all through a simple interface.",77
Chainski/WindowsCleanerUtility,https://github.com/Chainski/WindowsCleanerUtility,A minimal windows batch script that cleans your PC from temporary files.,44
anonymlol/Encoding_automation_scripts,https://github.com/anonymlol/Encoding_automation_scripts,Batch files for automating the encoding process for anime,20
Moodkiller/SendTo-rclone-GDrive,https://github.com/Moodkiller/SendTo-rclone-GDrive,Right click on a folder / file and send it to your preconfigured rclone (GDrive) remote in Windows,28
dend/windows-dev-box,https://github.com/dend/windows-dev-box,💻 Scripts and relevant configuration to set up my Windows development box.,47
Chainski/WindowsCleanerUtility,https://github.com/Chainski/WindowsCleanerUtility,A minimal windows batch script that cleans your PC from temporary files.,44
cgartlab/Software_Install_Script,https://github.com/cgartlab/Software_Install_Script,"This is a commonly used software batch installation script for my own use, based on the Winget Package Manager. ",25
C0nw0nk/qBittorrent,https://github.com/C0nw0nk/qBittorrent,qBittorrent Windows Automatic batch file command line script to check torrent for seeders if it has no seeders it will delete the torrent automatically .cmd .bat batch file command line cli cmd,28
wizz13150/PDQ_Repo,https://github.com/wizz13150/PDQ_Repo,"PDQ Deploy Scripts, Tools, Utilities ... For IT daily Administration",85
bongochong/CWP-Utilities,https://github.com/bongochong/CWP-Utilities,"Combined Windows Privacy Utilities | Hosts file updater, block list manager, and more. Open source tools for Windows users, to help ensure privacy & security. Block ads, spyware domains, and other malicious activity/traffic, all through a simple interface.",77
fr0st-iwnl/WinConfigs,https://github.com/fr0st-iwnl/WinConfigs,⚙️ \\ A script to simplify Windows setup by automating software installation and system tweaks. [❗Check README❗],29
ancel1x/Ancels-Performance-Batch,https://github.com/ancel1x/Ancels-Performance-Batch,Open Source Tweaker made to improve system performance and lower system latency.,239
Batlez/Batlez-Tweaks,https://github.com/Batlez/Batlez-Tweaks,"Batlez Tweaks is a batch tweaking script that optimizes your system to provide the best gaming experience possible. It is free and open-source, and works on Windows 10 & 11!",129
Scrut1ny/Windows-Debloating-Script,https://github.com/Scrut1ny/Windows-Debloating-Script,"Ultimate Windows tweaking guide for best performance, privacy, & security!",42
warengonzaga/wrn-cleaner,https://github.com/warengonzaga/wrn-cleaner,A free maintenance tool that can automatically or manually clean up your Windows machine in a simple and reliable way. 😉💻🧹,99
tcja/Windows-10-tweaks,https://github.com/tcja/Windows-10-tweaks,This repo contains multiple scripts to optimize windows 10,50,System Tweaks & Performance Enhancements
warengonzaga/wrn-cleaner,https://github.com/warengonzaga/wrn-cleaner,A free maintenance tool that can automatically or manually clean up your Windows machine in a simple and reliable way. 😉💻🧹,99,Uncategorized
ddashizzle/snapraid_made_simple,https://github.com/ddashizzle/snapraid_made_simple,Batch script to simply maintenance and notification of SnapRAID for Windows 10 and adjacent versions.  ,10,Development & Scripting Tools
AhmetHan/EDR_Tester,https://github.com/AhmetHan/EDR_Tester,This batch script file wants to check your EDR systems detection and response capabilities in a more noisy way!,11,System Information & Diagnostics
fr0st-iwnl/WinConfigs,https://github.com/fr0st-iwnl/WinConfigs,⚙️ \\ A script to simplify Windows setup by automating software installation and system tweaks. [❗Check README❗],29,System Tweaks & Performance Enhancements
Ec-25/FixIt,https://github.com/Ec-25/FixIt,A simple Script capable of optimizing and repairing almost any error that may occur on your Windows computer,84,Development & Scripting Tools
NARCOTIC/Windows-Optimizer,https://github.com/NARCOTIC/Windows-Optimizer,Windows-Optimizer is a batch program. This program is Optimizing and Defragmenting All Connected Storage Drives & Fixing File System Errors.,24,System Tweaks & Performance Enhancements
PAXANDDOS/ForzaHorizonFix,https://github.com/PAXANDDOS/ForzaHorizonFix,A simple fix for Forza Horizon 4 and Forza Horizon 5 crashes,35,Logging & Event Analysis
t4rra/hotspot-helper,https://github.com/t4rra/hotspot-helper,Fixes the lag spikes caused by windows hotspot when using wireless Virtual Reality streaming apps.,31,Uncategorized
n00mkrad/ffmpeg-batch-utils,https://github.com/n00mkrad/ffmpeg-batch-utils,Useful batch scripts for videos. Originally made as a toolbox for use with upscaling neural networks.,12,Network & Internet Tools
szybnev/TTL-Changer,https://github.com/szybnev/TTL-Changer,Script to change TTL on Windows,13,Development & Scripting Tools
Scrut1ny/Windows-Debloating-Script,https://github.com/Scrut1ny/Windows-Debloating-Script,"Ultimate Windows tweaking guide for best performance, privacy, & security!",42,System Tweaks & Performance Enhancements
Batlez/Batlez-Tweaks,https://github.com/Batlez/Batlez-Tweaks,"Batlez Tweaks is a batch tweaking script that optimizes your system to provide the best gaming experience possible. It is free and open-source, and works on Windows 10 & 11!",129,System Tweaks & Performance Enhancements
